id,eventid,userid,capacity
1,1,11,M
2,1,13,M
3,1,35,T
4,1,33,T
5,2,24,M
6,2,29,M
7,2,30,M
8,2,36,T
9,3,30,M
10,3,25,M
11,3,27,M
12,3,2,M
13,3,33,T
14,4,31,M
15,4,35,T
16,4,36,T
17,5,33,M
18,5,36,T
19,5,35,T
20,6,15,M
21,6,13,M
22,6,36,T
23,6,33,T
24,7,3,M
25,7,11,M
26,7,35,T
27,8,15,M
28,8,17,M
29,8,10,M
30,8,9,M
31,8,36,T
32,8,33,T
33,9,5,M
34,9,35,T
35,10,19,M
36,10,36,T
37,10,35,T
38,11,32,M
39,11,33,T
40,12,22,M
41,12,9,M
42,12,13,M
43,12,33,T
44,12,36,T
45,13,19,M
46,13,36,T
47,13,33,T
48,14,22,M
49,14,36,T
50,14,33,T
51,15,13,M
52,15,2,M
53,15,9,M
54,15,36,T
55,16,4,M
56,16,25,M
57,16,18,M
58,16,35,T
59,17,9,M
60,17,33,T
61,17,36,T
62,18,20,M
63,18,19,M
64,18,25,M
65,18,36,T
66,18,35,T
67,19,25,M
68,19,33,T
69,20,16,M
70,20,15,M
71,20,32,M
72,20,35,T
73,21,23,M
74,21,7,M
75,21,29,M
76,21,34,M
77,21,36,T
78,22,27,M
79,22,37,M
80,22,35,T
81,23,6,M
82,23,34,M
83,23,8,M
84,23,35,T
85,23,36,T
86,24,34,M
87,24,19,M
88,24,13,M
89,24,36,T
90,24,33,T
91,25,27,M
92,25,25,M
93,25,13,M
94,25,35,T
95,25,36,T
96,26,20,M
97,26,35,T
98,26,36,T
99,27,26,M
100,27,16,M
101,27,8,M
102,27,36,T
103,27,33,T
104,28,27,M
105,28,32,M
106,28,35,T
107,28,36,T
108,29,20,M
109,29,1,M
110,29,33,T
111,29,35,T
112,30,33,M
113,30,36,T
114,31,12,M
115,31,26,M
116,31,33,T
117,31,36,T
118,32,10,M
119,32,32,M
120,32,7,M
121,32,5,M
122,32,36,T
123,33,15,M
124,33,17,M
125,33,33,M
126,33,21,M
127,33,35,T
128,34,23,M
129,34,30,M
130,34,25,M
131,34,35,T
132,32,33,T
133,32,36,T
134,33,25,M
135,33,33,M
136,33,4,M
137,33,28,M
138,33,36,T
139,34,4,M
140,34,8,M
141,34,31,M
142,34,36,T
